,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,popularity
65,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,audio_features,4eWQlBRaTjPPUlzacqEeoQ,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ,226973,4,Never Be the Same,74
66,0.586,0.624,5,-5.946,1,0.113,0.0153,1.78e-06,0.133,0.267,68.976,audio_features,6lOWoTqVnAWXchddtTH31W,spotify:track:6lOWoTqVnAWXchddtTH31W,https://api.spotify.com/v1/tracks/6lOWoTqVnAWXchddtTH31W,https://api.spotify.com/v1/audio-analysis/6lOWoTqVnAWXchddtTH31W,185863,4,Leave a Light On,73
67,0.926,0.703,11,-6.337,0,0.103,0.0659,0.0,0.231,0.485,125.022,audio_features,6KBYefIoo7KydImq1uUQlL,spotify:track:6KBYefIoo7KydImq1uUQlL,https://api.spotify.com/v1/tracks/6KBYefIoo7KydImq1uUQlL,https://api.spotify.com/v1/audio-analysis/6KBYefIoo7KydImq1uUQlL,223713,4,Bodak Yellow,73
68,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.918,audio_features,6I0KEvFfWszVJiCy5hum4V,spotify:track:6I0KEvFfWszVJiCy5hum4V,https://api.spotify.com/v1/tracks/6I0KEvFfWszVJiCy5hum4V,https://api.spotify.com/v1/audio-analysis/6I0KEvFfWszVJiCy5hum4V,190348,4,Let's Fall in Love for the Night,73
69,0.777,0.782,0,-4.435,0,0.0907,0.0505,0.0,0.64,0.773,94.023,audio_features,4ggiDYAkJ7Yk8d5xOr7Xjo,spotify:track:4ggiDYAkJ7Yk8d5xOr7Xjo,https://api.spotify.com/v1/tracks/4ggiDYAkJ7Yk8d5xOr7Xjo,https://api.spotify.com/v1/audio-analysis/4ggiDYAkJ7Yk8d5xOr7Xjo,221653,4,Me Niego (feat. Ozuna & Wisin),73
70,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,audio_features,42fw0rxRO2xbesF6mJfd4Y,spotify:track:42fw0rxRO2xbesF6mJfd4Y,https://api.spotify.com/v1/tracks/42fw0rxRO2xbesF6mJfd4Y,https://api.spotify.com/v1/audio-analysis/42fw0rxRO2xbesF6mJfd4Y,196747,4,Tequila,73
71,0.362,0.882,3,-3.717,1,0.0973,0.0791,0.0,0.15,0.864,199.811,audio_features,4L9Ds4mpD3SuYoWwFUlv16,spotify:track:4L9Ds4mpD3SuYoWwFUlv16,https://api.spotify.com/v1/tracks/4L9Ds4mpD3SuYoWwFUlv16,https://api.spotify.com/v1/audio-analysis/4L9Ds4mpD3SuYoWwFUlv16,185200,4,Simple,73
72,0.375,0.574,7,-5.305,1,0.0315,0.143,0.0,0.11,0.406,132.025,audio_features,6EGAfJaLUFzhS4zRBIEQ2J,spotify:track:6EGAfJaLUFzhS4zRBIEQ2J,https://api.spotify.com/v1/tracks/6EGAfJaLUFzhS4zRBIEQ2J,https://api.spotify.com/v1/audio-analysis/6EGAfJaLUFzhS4zRBIEQ2J,196800,3,You Make It Easy,73
73,0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,audio_features,4ylWMuGbMXNDgDd8lErEle,spotify:track:4ylWMuGbMXNDgDd8lErEle,https://api.spotify.com/v1/tracks/4ylWMuGbMXNDgDd8lErEle,https://api.spotify.com/v1/audio-analysis/4ylWMuGbMXNDgDd8lErEle,302147,4,The Greatest Show,73
74,0.6,0.683,6,-6.271,1,0.0493,0.0984,1.26e-06,0.11,0.494,102.036,audio_features,514rhnksEwHUh6LxXsQ4Y9,spotify:track:514rhnksEwHUh6LxXsQ4Y9,https://api.spotify.com/v1/tracks/514rhnksEwHUh6LxXsQ4Y9,https://api.spotify.com/v1/audio-analysis/514rhnksEwHUh6LxXsQ4Y9,210240,4,Back To You,73
75,0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,audio_features,5IaHrVsrferBYDm0bDyABy,spotify:track:5IaHrVsrferBYDm0bDyABy,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,232959,4,Taste (feat. Offset),73
76,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,audio_features,77UjLW8j5UAGAGVGhR5oUK,spotify:track:77UjLW8j5UAGAGVGhR5oUK,https://api.spotify.com/v1/tracks/77UjLW8j5UAGAGVGhR5oUK,https://api.spotify.com/v1/audio-analysis/77UjLW8j5UAGAGVGhR5oUK,211440,4,Pray For Me (with Kendrick Lamar),72
77,0.747,0.834,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005,audio_features,4kWO6O1BUXcZmaxitpVUwp,spotify:track:4kWO6O1BUXcZmaxitpVUwp,https://api.spotify.com/v1/tracks/4kWO6O1BUXcZmaxitpVUwp,https://api.spotify.com/v1/audio-analysis/4kWO6O1BUXcZmaxitpVUwp,215760,4,Jackie Chan,72
78,0.653,0.718,3,-5.232,0,0.213,0.00413,0.0,0.0537,0.216,82.034,audio_features,0OI7AFifLSoGzpb8bdBLLV,spotify:track:0OI7AFifLSoGzpb8bdBLLV,https://api.spotify.com/v1/tracks/0OI7AFifLSoGzpb8bdBLLV,https://api.spotify.com/v1/audio-analysis/0OI7AFifLSoGzpb8bdBLLV,202805,4,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",72
79,0.546,0.822,7,-4.483,1,0.151,0.0145,0.0,0.742,0.615,150.06,audio_features,6VrCmhRBFnuGKmtNfk4jDs,spotify:track:6VrCmhRBFnuGKmtNfk4jDs,https://api.spotify.com/v1/tracks/6VrCmhRBFnuGKmtNfk4jDs,https://api.spotify.com/v1/audio-analysis/6VrCmhRBFnuGKmtNfk4jDs,177600,4,Spotlight,72
80,0.792,0.895,1,-3.112,0,0.0589,0.165,0.0,0.0501,0.794,94.968,audio_features,4QtiVmuA88tPQiCOHZuQ5b,spotify:track:4QtiVmuA88tPQiCOHZuQ5b,https://api.spotify.com/v1/tracks/4QtiVmuA88tPQiCOHZuQ5b,https://api.spotify.com/v1/audio-analysis/4QtiVmuA88tPQiCOHZuQ5b,201526,4,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",72
81,0.904,0.518,2,-5.32,1,0.183,0.0305,0.0,0.325,0.188,137.996,audio_features,4wFjTWCunQFKtukqrNijEt,spotify:track:4wFjTWCunQFKtukqrNijEt,https://api.spotify.com/v1/tracks/4wFjTWCunQFKtukqrNijEt,https://api.spotify.com/v1/audio-analysis/4wFjTWCunQFKtukqrNijEt,303077,4,MotorSport,72
82,0.854,0.463,5,-6.159,1,0.137,0.117,0.0,0.354,0.549,120.024,audio_features,0b9oOr2ZgvyQu88wzixux9,spotify:track:0b9oOr2ZgvyQu88wzixux9,https://api.spotify.com/v1/tracks/0b9oOr2ZgvyQu88wzixux9,https://api.spotify.com/v1/audio-analysis/0b9oOr2ZgvyQu88wzixux9,225773,4,This Is America,72
83,0.931,0.387,1,-9.127,1,0.412,0.088,0.0,0.136,0.375,125.978,audio_features,1M6SuEJZJkZf2S419vIPkB,spotify:track:1M6SuEJZJkZf2S419vIPkB,https://api.spotify.com/v1/tracks/1M6SuEJZJkZf2S419vIPkB,https://api.spotify.com/v1/audio-analysis/1M6SuEJZJkZf2S419vIPkB,179405,4,FEFE,72
